

"Fecha","Compra","Venta","TCR 1/"
"01/01/1998","6.14285","6.16625",""
"02/01/1998","6.17433","6.19326",""
"03/01/1998","6.17433","6.19326",""
"04/01/1998","6.17433","6.19326",""
"05/01/1998","6.16782","6.18593",""
"06/01/1998","6.17817","6.19428",""
"07/01/1998","6.20476","6.22158",""
"08/01/1998","6.21465","6.22934",""
"09/01/1998","6.22581","6.24011",""
"10/01/1998","6.22581","6.24011",""
"11/01/1998","6.22581","6.24011",""
"12/01/1998","6.23450","6.24912",""
"13/01/1998","6.25314","6.26579",""
"14/01/1998","6.25477","6.27290",""
"15/01/1998","6.25641","6.26766",""
"16/01/1998","6.26451","6.27944",""
"17/01/1998","6.26451","6.27944",""
"18/01/1998","6.26451","6.27944",""
"19/01/1998","6.27962","6.28914",""
"20/01/1998","6.25787","6.27484",""
"21/01/1998","6.25092","6.26549",""
"22/01/1998","6.25699","6.26680",""
"23/01/1998","6.27736","6.28996",""
"24/01/1998","6.27736","6.28996",""
"25/01/1998","6.27736","6.28996",""
"26/01/1998","6.27621","6.28611",""
"27/01/1998","6.25386","6.26961",""
"28/01/1998","6.25212","6.26482",""
"29/01/1998","6.25305","6.26555",""
"30/01/1998","6.26626","6.27502",""
"31/01/1998","6.26626","6.27502",""
"01/02/1998","6.26626","6.27502",""
"02/02/1998","6.26635","6.27797",""
"03/02/1998","6.23253","6.25000",""
"04/02/1998","6.25777","6.27035",""
"05/02/1998","6.25437","6.26542",""
"06/02/1998","6.24687","6.25954",""
"07/02/1998","6.24687","6.25954",""
"08/02/1998","6.24687","6.25954",""
"09/02/1998","6.24266","6.25675",""
"10/02/1998","6.24729","6.25925",""
"11/02/1998","6.24888","6.26239",""
"12/02/1998","6.22525","6.23920",""
"13/02/1998","6.18923","6.20671",""
"14/02/1998","6.18923","6.20671",""
"15/02/1998","6.18923","6.20671",""
"16/02/1998","6.17883","6.19239",""
"17/02/1998","6.16262","6.17877",""
"18/02/1998","6.16553","6.18478",""
"19/02/1998","6.22018","6.23267",""
"20/02/1998","6.22319","6.23551",""
"21/02/1998","6.22319","6.23551",""
